2024-02-12 15:42:58,'717', '455', '236', '222', '241', '253'
2024-02-12 15:43:58,'717', '455', '237', '222', '242', '253'
2024-02-12 16:00:01,'719', '455', '237', '223', '242', '253'
2024-02-12 16:20:02,'719', '453', '237', '223', '242', '253'
2024-02-12 16:40:01,'720', '453', '236', '224', '242', '253'
2024-02-12 17:00:01,'720', '453', '235', '213', '242', '252'
2024-02-12 17:20:02,'720', '453', '236', '226', '242', '252'
2024-02-12 17:40:01,'719', '460', '238', '225', '244', '257'
2024-02-12 18:00:01,'720', '456', '237', '223', '241', '254'
2024-02-12 18:20:02,'719', '453', '236', '223', '242', '252'
2024-02-12 18:40:01,'719', '453', '236', '223', '241', '252'
2024-02-12 19:00:01,'719', '452', '236', '223', '241', '251'
2024-02-12 19:20:01,'719', '451', '235', '222', '241', '251'
2024-02-12 19:40:01,'717', '452', '236', '222', '241', '251'
2024-02-12 20:00:02,'719', '451', '236', '222', '241', '250'
2024-02-12 20:20:01,'719', '451', '235', '222', '241', '250'
2024-02-12 20:40:01,'719', '451', '235', '222', '241', '250'
2024-02-12 21:00:01,'719', '450', '235', '222', '241', '250'
2024-02-12 21:20:02,'720', '449', '234', '212', '240', '249'
2024-02-12 21:40:01,'720', '448', '234', '222', '240', '249'
2024-02-12 22:00:01,'720', '447', '232', '221', '238', '248'
2024-02-12 22:20:02,'720', '446', '233', '221', '238', '248'
2024-02-12 22:40:01,'719', '446', '233', '221', '238', '248'
2024-02-12 23:00:01,'720', '445', '233', '221', '238', '248'
2024-02-12 23:20:01,'719', '445', '232', '222', '238', '248'
2024-02-12 23:40:01,'719', '445', '232', '221', '238', '247'
2024-02-13 00:00:01,'720', '444', '232', '221', '237', '247'
2024-02-13 00:20:02,'720', '443', '232', '221', '237', '246'
2024-02-13 00:40:01,'720', '443', '232', '221', '237', '246'
2024-02-13 01:00:01,'720', '443', '232', '220', '237', '246'
2024-02-13 01:20:02,'720', '443', '232', '221', '237', '246'
2024-02-13 01:40:01,'721', '444', '232', '221', '237', '246'
2024-02-13 02:00:01,'720', '443', '231', '221', '237', '246'
2024-02-13 02:20:01,'721', '442', '231', '220', '236', '245'
2024-02-13 02:40:01,'720', '441', '233', '221', '236', '245'
